Step,BathTUB,PUCRS
0,50000,50000
1,50000,50000
2,50000,50000
3,50000,50000
4,50000,50000
5,50000,50000
6,50000,50000
7,50000,50000
8,50000,50000
9,50000,50000
10,50000,50000
11,50000,50000
12,50000,50000
13,50000,50000
14,50000,50000
15,50000,50000
16,50000,50000
17,50000,50000
18,50000,50000
19,50000,50000
20,50000,50000
21,50000,50000
22,50000,50000
23,50000,50000
24,50000,50000
25,50000,50000
26,50000,50000
27,50000,50000
28,50000,50000
29,50000,50000
30,50000,50000
31,50000,50000
32,50000,50000
33,50000,50000
34,50000,50000
35,50000,50000
36,50000,50000
37,50000,50000
38,50000,50000
39,50000,50000
40,50000,50000
41,50000,50000
42,50000,50000
43,50000,50000
44,50000,50000
45,50000,50000
46,50000,50000
47,50000,50000
48,50000,50000
49,50000,50000
50,50000,50000
51,50000,50000
52,50000,50000
53,50000,50000
54,50000,50000
55,50000,50000
56,50000,50000
57,50000,50000
58,50000,50000
59,50000,50000
60,50000,50000
61,50000,50000
62,50000,50000
63,50000,50000
64,50000,50000
65,50000,50000
66,50000,50000
67,50000,50000
68,50000,50000
69,50000,50000
70,50000,50000
71,50000,50000
72,50000,50000
73,50000,50000
74,50000,50000
75,50000,50000
76,50000,50000
77,50000,50000
78,50000,50000
79,50000,50000
80,50000,50000
81,50000,50000
82,50000,50000
83,50000,50000
84,50000,50000
85,50000,50000
86,50000,50000
87,50000,50000
88,50000,50000
89,50000,50000
90,50000,50000
91,50000,50000
92,50000,50000
93,50000,50000
94,50000,50000
95,50000,50000
96,50000,50000
97,50000,50000
98,50000,50000
99,50000,50000
100,50000,50000
101,50000,50000
102,50000,50000
103,50000,50000
104,50000,50000
105,50000,50000
106,50000,50000
107,50000,50000
108,50000,50000
109,50000,50000
110,50000,50000
111,50000,50000
112,50000,50000
113,50000,50000
114,50000,50000
115,50000,50000
116,50000,50000
117,50000,50000
118,50000,50000
119,50000,50000
120,50000,50000
121,50000,50000
122,50000,50000
123,50000,50000
124,50000,50000
125,50000,50000
126,50000,47491
127,50000,47491
128,50000,42999
129,50000,42999
130,50000,42999
131,50000,42999
132,50000,42999
133,50000,38628
134,50000,38628
135,50000,37520
136,50000,37520
137,50000,37520
138,50000,37520
139,50000,37261
140,50000,37261
141,50000,36992
142,50000,36992
143,50000,54313
144,50000,54313
145,50000,54313
146,50000,45883
147,50000,45883
148,50000,45533
149,50000,45454
150,50000,45454
151,50000,45373
152,50000,45292
153,50000,45234
154,50000,45234
155,50000,45234
156,50000,45234
157,50000,45072
158,50000,44910
159,50000,44754
160,50000,44483
161,50000,44483
162,50000,44483
163,50000,44483
164,50000,44214
165,50000,44133
166,50000,44052
167,50000,43971
168,50000,43890
169,50000,41357
170,50000,41357
171,50000,21660
172,50000,21660
173,50000,21660
174,50000,21660
175,50000,21660
176,50000,21660
177,50000,21660
178,50000,21660
179,50000,21660
180,50000,38542
181,50000,38542
182,50000,38542
183,50000,38542
184,50000,38471
185,50000,38329
186,50000,38220
187,50000,38182
188,50000,38182
189,50000,28912
190,50000,28912
191,50000,26385
192,50000,26385
193,50000,21622
194,50000,21622
195,50000,21622
196,50000,21371
197,50000,56605
198,50000,56605
199,50000,56605
200,50000,56605
201,50000,56605
202,50000,56605
203,50000,56605
204,50000,56605
205,50000,56605
206,50000,56605
207,50000,56605
208,50000,56605
209,50000,56218
210,50000,56126
211,50000,56080
212,50000,56080
213,50000,55999
214,50000,51249
215,50000,51241
216,50000,51241
217,50000,51241
218,50000,51241
219,50000,51241
220,50000,51241
221,50000,51241
222,50000,51160
223,50000,51079
224,50000,75540
225,50000,75503
226,50000,75503
227,50000,75503
228,50000,75503
229,50000,71011
230,50000,71011
231,50000,71011
232,50000,71011
233,50000,71011
234,50000,71011
235,50000,71011
236,50000,71011
237,50000,70740
238,50000,70740
239,50000,66352
240,50000,66352
241,50000,66352
242,50000,66352
243,50000,66352
244,50000,66352
245,50000,66352
246,50000,66352
247,50000,66352
248,50000,66352
249,50000,66352
250,50000,66352
251,50000,66352
252,50000,66352
253,50000,66352
254,50000,66352
255,50000,66352
256,50000,66352
257,50000,66352
258,50000,66352
259,50000,66352
260,50000,66352
261,50000,66352
262,50000,66352
263,50000,66352
264,50000,66352
265,50000,66352
266,50000,66352
267,50000,66352
268,50000,66352
269,50000,66352
270,50000,66352
271,50000,65852
272,50000,65352
273,50000,65352
274,50000,65352
275,50000,65352
276,50000,65352
277,50000,65352
278,50000,65352
279,50000,65352
280,50000,73123
281,50000,73123
282,50000,87195
283,50000,87195
284,50000,87195
285,50000,87195
286,50000,69934
287,50000,69934
288,50000,69934
289,50000,61233
290,50000,61233
291,50000,60384
292,50000,60112
293,50000,60112
294,50000,59234
295,50000,59234
296,50000,58965
297,50000,58894
298,50000,58735
299,50000,58629
300,50000,58541
301,50000,58404
302,50000,58231
303,50000,58131
304,50000,58095
305,50000,57965
306,50000,57835
307,50000,57775
308,50000,57775
309,50000,57775
310,50000,57775
311,50000,48505
312,50000,48505
313,50000,48505
314,50000,48505
315,50000,48505
316,50000,48505
317,50000,48505
318,50000,48505
319,50000,48005
320,50000,48005
321,50000,48005
322,50000,48005
323,50000,48005
324,50000,48005
325,50000,48005
326,50000,63547
327,50000,63547
328,50000,63547
329,50000,63547
330,50000,63547
331,50000,63547
332,50000,63547
333,50000,63547
334,50000,63547
335,50000,63547
336,50000,63547
337,50000,63547
338,50000,63296
339,50000,63296
340,50000,63024
341,50000,63024
342,50000,62932
343,50000,62840
344,50000,62824
345,50000,62743
346,50000,62591
347,50000,62442
348,50000,62424
349,50000,62424
350,50000,62424
351,50000,62424
352,50000,59897
353,50000,59897
354,50000,59897
355,50000,59897
356,50000,57388
357,50000,57296
358,50000,57204
359,50000,57158
360,50000,56309
361,50000,56309
362,50000,56309
363,50000,56309
364,50000,56309
365,50000,55488
366,50000,55488
367,50000,46218
368,50000,46218
369,50000,46218
370,50000,46218
371,50000,46218
372,50000,46218
373,50000,46218
374,50000,46218
375,50000,46218
376,50000,46130
377,50000,45950
378,50000,45804
379,50000,45712
380,50000,45708
381,50000,45708
382,50000,45708
383,50000,45708
384,50000,45708
385,50000,45708
386,50000,61012
387,50000,61012
388,50000,61012
389,50000,70140
390,50000,70140
391,50000,70140
392,50000,70140
393,50000,70140
394,50000,70140
395,50000,70140
396,50000,70140
397,50000,70140
398,50000,70140
399,50000,69869
400,50000,69869
401,50000,69510
402,50000,69341
403,50000,69196
404,50000,69128
405,50000,69128
406,50000,69128
407,50000,69128
408,50000,69128
409,50000,68877
410,50000,68877
411,50000,66099
412,50000,61440
413,50000,57151
414,50000,57151
415,50000,57151
416,50000,57151
417,50000,57151
418,50000,57151
419,50000,57151
420,50000,57151
421,50000,57151
422,50000,57151
423,50000,57151
424,50000,57151
425,50000,57151
426,50000,57151
427,50000,57151
428,50000,57151
429,50000,57151
430,50000,57151
431,50000,57151
432,50000,57151
433,50000,57151
434,50000,57151
435,50000,57151
436,50000,57151
437,50000,57151
438,50000,57151
439,50000,57151
440,50000,57151
441,50000,57151
442,50000,57151
443,50000,57151
444,50000,57151
445,50000,57151
446,50000,57151
447,50000,57151
448,50000,57151
449,50000,57151
450,50000,57151
451,50000,57151
452,50000,56151
453,50000,56151
454,50000,56151
455,50000,56151
456,50000,56151
457,50000,56151
458,50000,56151
459,50000,56151
460,50000,71737
461,50000,71737
462,50000,71737
463,50000,71737
464,50000,71737
465,50000,71737
466,50000,71737
467,50000,71737
468,50000,71737
469,50000,71737
470,50000,71737
471,50000,63035
472,50000,63035
473,50000,61905
474,50000,61905
475,50000,61636
476,50000,61636
477,50000,61636
478,50000,61636
479,50000,61636
480,50000,61636
481,50000,61636
482,50000,61636
483,50000,61636
484,50000,61636
485,50000,61636
486,50000,61636
487,50000,61636
488,50000,61636
489,50000,78296
490,50000,78296
491,50000,78296
492,50000,78296
493,50000,78296
494,50000,78296
495,50000,78296
496,50000,78296
497,50000,78296
498,50000,78296
499,50000,78296
500,50000,78296
501,50000,78296
502,50000,78296
503,50000,78296
504,50000,78215
505,50000,68893
506,50000,68865
507,50000,68865
508,50000,68865
509,50000,68865
510,50000,68865
511,50000,68865
512,50000,68865
513,50000,68865
514,50000,49168
515,50000,49168
516,50000,46641
517,50000,46641
518,50000,42270
519,50000,42270
520,50000,42270
521,50000,42270
522,50000,42270
523,50000,42270
524,50000,42270
525,50000,42270
526,50000,42270
527,50000,42270
528,50000,42270
529,50000,42270
530,50000,42270
531,50000,42199
532,50000,42128
533,50000,42090
534,50000,42090
535,50000,41590
536,50000,41590
537,50000,41090
538,50000,41090
539,50000,41090
540,50000,41090
541,50000,41090
542,50000,41090
543,50000,41090
544,50000,41090
545,50000,41090
546,50000,41090
547,50000,41090
548,50000,41090
549,50000,41090
550,50000,41090
551,50000,41090
552,50000,91200
553,50000,91200
554,50000,91200
555,50000,91200
556,50000,91200
557,50000,91200
558,50000,91200
559,50000,91200
560,50000,91200
561,50000,91200
562,50000,91200
563,50000,91200
564,50000,91200
565,50000,91200
566,50000,91200
567,50000,91200
568,50000,91200
569,50000,91200
570,50000,91200
571,50000,91200
572,50000,91108
573,50000,91030
574,50000,90938
575,50000,90846
576,50000,90810
577,50000,90718
578,50000,90626
579,50000,90570
580,50000,90570
581,50000,90570
582,50000,90570
583,50000,90570
584,50000,90570
585,50000,90301
586,50000,90301
587,50000,90027
588,50000,90027
589,50000,85639
590,50000,77209
591,50000,77209
592,50000,77209
593,50000,77209
594,50000,77209
595,50000,77209
596,50000,77209
597,50000,99553
598,50000,99553
599,50000,99553
600,50000,99553
601,50000,99553
602,50000,99553
603,50000,99553
604,50000,94870
605,50000,94870
606,50000,74902
607,50000,74902
608,50000,74628
609,50000,74547
610,50000,74478
611,50000,74478
612,50000,74478
613,50000,74478
614,50000,74478
615,50000,74478
616,50000,74478
617,50000,74478
618,50000,74478
619,50000,74478
620,50000,74478
621,50000,74478
622,50000,74478
623,50000,74478
624,50000,74478
625,50000,74478
626,50000,74478
627,50000,74478
628,50000,74478
629,50000,74478
630,50000,74478
631,50000,74478
632,50000,74478
633,50000,74478
634,50000,74478
635,50000,74478
636,50000,74478
637,50000,74478
638,50000,74478
639,50000,74478
640,50000,74478
641,50000,74478
642,50000,73978
643,50000,73978
644,50000,73978
645,50000,73978
646,50000,73978
647,50000,73978
648,50000,73978
649,50000,73978
650,50000,73978
651,50000,73978
652,50000,73978
653,50000,73978
654,50000,73978
655,50000,73978
656,50000,73978
657,50000,73978
658,50000,73978
659,50000,73978
660,50000,73978
661,50000,73978
662,50000,73978
663,50000,73978
664,50000,73478
665,50000,73478
666,50000,73478
667,50000,73478
668,50000,73478
669,50000,73478
670,50000,73478
671,50000,73478
672,50000,73478
673,50000,73478
674,50000,73478
675,50000,73478
676,50000,73478
677,50000,73478
678,50000,73478
679,50000,56217
680,50000,55945
681,50000,55945
682,50000,55945
683,50000,55864
684,50000,55805
685,50000,55805
686,50000,55805
687,50000,55805
688,50000,55805
689,50000,55805
690,50000,55805
691,50000,55805
692,50000,55805
693,50000,55805
694,50000,55546
695,50000,55546
696,50000,51175
697,50000,51083
698,50000,50991
699,50000,50899
700,50000,50895
701,50000,50895
702,50000,50895
703,50000,50895
704,50000,50895
705,50000,50895
706,50000,50814
707,50000,50755
708,50000,50755
709,50000,50755
710,50000,50755
711,50000,50755
712,50000,50755
713,50000,50755
714,50000,50755
715,50000,50755
716,50000,50755
717,50000,50755
718,50000,50755
719,50000,50755
720,50000,50755
721,50000,50755
722,50000,50755
723,50000,50755
724,50000,50661
725,50000,50567
726,50000,50525
727,50000,50525
728,50000,50525
729,50000,50525
730,50000,50525
731,50000,50525
732,50000,50525
733,50000,50525
734,50000,50525
735,50000,50525
736,50000,50525
737,50000,84961
738,50000,84961
739,50000,84961
740,50000,84961
741,50000,84961
742,50000,84961
743,50000,84961
744,50000,84961
745,50000,84961
746,50000,84961
747,50000,84961
748,50000,84961
749,50000,84961
750,50000,84961
751,50000,84961
752,50000,84961
753,50000,84961
754,50000,84961
755,50000,84683
756,50000,84683
757,50000,82174
758,50000,82174
759,50000,82093
760,50000,82012
761,50000,81984
762,50000,81984
763,50000,81984
764,50000,81106
765,50000,81106
766,50000,81025
767,50000,80946
768,50000,80946
769,50000,80946
770,50000,80946
771,50000,80687
772,50000,80687
773,50000,76235
774,50000,76154
775,50000,76073
776,50000,76036
777,50000,76036
778,50000,76036
779,50000,76036
780,50000,76036
781,50000,76036
782,50000,76036
783,50000,76036
784,50000,76036
785,50000,76036
786,50000,76036
787,50000,76036
788,50000,76036
789,50000,76036
790,50000,76036
791,50000,76036
792,50000,76036
793,50000,76036
794,50000,76036
795,50000,76036
796,50000,76036
797,50000,76036
798,50000,76036
799,50000,89624
800,50000,89624
801,50000,89624
802,50000,89624
803,50000,89624
804,50000,89624
805,50000,89624
806,50000,89624
807,50000,89624
808,50000,89624
809,50000,89624
810,50000,89624
811,50000,89624
812,50000,89624
813,50000,89624
814,50000,89624
815,50000,89624
816,50000,89624
817,50000,89624
818,50000,89624
819,50000,89406
820,50000,89238
821,50000,89224
822,50000,89224
823,50000,89224
824,50000,89224
825,50000,89224
826,50000,89224
827,50000,89224
828,50000,89224
829,50000,89224
830,50000,86697
831,50000,86697
832,50000,86423
833,50000,86423
834,50000,86152
835,50000,86152
836,50000,85274
837,50000,85274
838,50000,80985
839,50000,80985
840,50000,80985
841,50000,80985
842,50000,80985
843,50000,80985
844,50000,80985
845,50000,80985
846,50000,80985
847,50000,80985
848,50000,80985
849,50000,80985
850,50000,80985
851,50000,80985
852,50000,80893
853,50000,80801
854,50000,80765
855,50000,80765
856,50000,80765
857,50000,80765
858,50000,80765
859,50000,80765
860,50000,80765
861,50000,93675
862,50000,93675
863,50000,93675
864,50000,93675
865,50000,93675
866,50000,93675
867,50000,93675
868,50000,93583
869,50000,93515
870,50000,93515
871,50000,93515
872,50000,90858
873,50000,90728
874,50000,90598
875,50000,90558
876,50000,90558
877,50000,70861
878,50000,70861
879,50000,70861
880,50000,70861
881,50000,70861
882,50000,70861
883,50000,70861
884,50000,70861
885,50000,70861
886,50000,70790
887,50000,70448
888,50000,70380
889,50000,70380
890,50000,70380
891,50000,70380
892,50000,70380
893,50000,70380
894,50000,70380
895,50000,70380
896,50000,70380
897,50000,70380
898,50000,70380
899,50000,70380
900,50000,70380
901,50000,102345
902,50000,102345
903,50000,102345
904,50000,102345
905,50000,102345
906,50000,102345
907,50000,102345
908,50000,102345
909,50000,102345
910,50000,102345
911,50000,102345
912,50000,102345
913,50000,102345
914,50000,102345
915,50000,102345
916,50000,102345
917,50000,102345
918,50000,102345
919,50000,102345
920,50000,102345
921,50000,102345
922,50000,102345
923,50000,102345
924,50000,102345
925,50000,102345
926,50000,102345
927,50000,102345
928,50000,102345
929,50000,102345
930,50000,102345
931,50000,102345
932,50000,102345
933,50000,102345
934,50000,102345
935,50000,102345
936,50000,102345
937,50000,102345
938,50000,102345
939,50000,102345
940,50000,102345
941,50000,102345
942,50000,102345
943,50000,102345
944,50000,102345
945,50000,102345
946,50000,102345
947,50000,102345
948,50000,102345
949,50000,102345
950,50000,102345
951,50000,102345
952,50000,102345
953,50000,102345
954,50000,102345
955,50000,102345
956,50000,102345
957,50000,102345
958,50000,102345
959,50000,102345
960,50000,102345
961,50000,102345
962,50000,102345
963,50000,102345
964,50000,102345
965,50000,102345
966,50000,102345
967,50000,102345
968,50000,102345
969,50000,102345
970,50000,102345
971,50000,102345
972,50000,102345
973,50000,102345
974,50000,102345
975,50000,102345
976,50000,102345
977,50000,102345
978,50000,102345
979,50000,102345
980,50000,102345
981,50000,102345
982,50000,102345
983,50000,102345
984,50000,102345
985,50000,102345
986,50000,102345
987,50000,102345
988,50000,102345
989,50000,102345
990,50000,102345
991,50000,102345
992,50000,102345
993,50000,102345
994,50000,102345
995,50000,102345
996,50000,102345
997,50000,102345
998,50000,102345
999,50000,102345
1000,50000,102345