Step,lampe,PUCRS
0,50000,50000
1,50000,50000
2,50000,50000
3,50000,50000
4,50000,50000
5,50000,50000
6,50000,50000
7,50000,50000
8,50000,50000
9,50000,50000
10,50000,50000
11,50000,50000
12,50000,50000
13,50000,50000
14,50000,50000
15,50000,50000
16,50000,50000
17,50000,50000
18,50000,50000
19,50000,50000
20,50000,50000
21,50000,50000
22,50000,50000
23,50000,50000
24,50000,50000
25,50000,50000
26,50000,50000
27,50000,50000
28,48322,50000
29,48322,50000
30,48322,50000
31,48322,50000
32,48322,50000
33,48322,50000
34,48322,50000
35,48322,50000
36,48322,50000
37,48322,50000
38,48265,50000
39,48208,50000
40,48192,50000
41,48192,50000
42,48192,50000
43,48018,50000
44,47724,50000
45,47611,50000
46,47602,50000
47,47602,50000
48,47602,50000
49,47602,50000
50,47602,50000
51,47602,50000
52,47344,50000
53,47344,50000
54,47344,50000
55,47344,50000
56,47344,50000
57,47344,50000
58,47344,50000
59,47227,50000
60,47224,50000
61,47224,50000
62,47224,50000
63,47224,50000
64,47224,50000
65,47224,50000
66,47224,50000
67,47224,50000
68,47224,50000
69,47224,50000
70,47224,50000
71,47224,50000
72,47224,50000
73,46192,50000
74,46192,50000
75,46192,50000
76,46192,50000
77,46192,50000
78,46192,50000
79,46135,50000
80,45968,50000
81,45932,50000
82,45932,50000
83,45932,48366
84,45932,48366
85,45932,47826
86,44839,47826
87,44782,47556
88,44725,47556
89,44696,47556
90,44696,47556
91,44696,47294
92,44696,47294
93,44696,47294
94,44696,47294
95,44126,47294
96,44126,47294
97,44126,47220
98,44126,41728
99,44126,41654
100,44126,41374
101,44069,41374
102,43723,41374
103,43666,41374
104,43657,41374
105,43657,41374
106,43657,41374
107,43540,41374
108,43423,46895
109,43407,46821
110,43407,46747
111,43407,46673
112,43290,46605
113,43173,46605
114,43056,46531
115,42970,46457
116,42913,46383
117,42856,46365
118,42799,46365
119,42787,46365
120,42670,45837
121,42553,45837
122,42487,45837
123,42487,45067
124,41623,45067
125,41623,44239
126,41623,53275
127,41623,53000
128,41623,52883
129,41549,49736
130,41475,49736
131,41433,49464
132,41433,49464
133,41433,49390
134,41433,49316
135,41433,48297
136,41433,48236
137,41433,48236
138,41433,48236
139,36937,48236
140,36937,48236
141,36937,48236
142,36937,48236
143,36937,52671
144,36937,52671
145,36937,52671
146,36937,52671
147,36937,52671
148,36937,52671
149,36937,52597
150,36937,36741
151,36820,36667
152,36777,35889
153,36660,22065
154,36543,21180
155,36497,21123
156,36497,21066
157,36497,21064
158,36497,21064
159,36208,21064
160,36208,21064
161,36208,21064
162,36208,20917
163,36208,17547
164,36208,17547
165,36208,17269
166,36208,17179
167,36208,17089
168,36151,16999
169,36094,16999
170,36037,16999
171,35863,16999
172,35753,16999
173,35698,16999
174,35698,16999
175,35698,16999
176,35698,16999
177,35698,16925
178,35698,16851
179,35698,16799
180,35698,16799
181,35698,16799
182,35698,16299
183,35698,16299
184,35698,16299
185,35698,16299
186,35698,16299
187,35198,49197
188,35198,81963
189,35198,81963
190,35198,81963
191,35198,81963
192,35198,81963
193,35198,81963
194,35138,81963
195,35138,81963
196,35138,81963
197,35138,81963
198,35138,81963
199,35138,81963
200,35138,81963
201,35138,81963
202,35138,81963
203,35138,81963
204,35138,81071
205,35138,80924
206,35138,78397
207,35138,78135
208,35138,78135
209,35138,77365
210,35138,77365
211,35138,77365
212,35138,77248
213,35138,77131
214,35138,77125
215,35138,77008
216,35138,76695
217,35138,76695
218,35138,76695
219,35138,76638
220,35138,76581
221,35138,76524
222,35138,76475
223,35138,76475
224,35138,76475
225,35138,76475
226,35138,76475
227,35024,76475
228,34910,72154
229,34838,72154
230,34838,78338
231,34838,78338
232,34838,78338
233,34838,78338
234,33284,78338
235,33227,78338
236,33170,78338
237,33113,78338
238,33056,78338
239,32999,88139
240,32994,88139
241,32994,88139
242,32994,88139
243,32994,88139
244,32994,88139
245,32994,88139
246,32877,88139
247,32760,88139
248,32643,88139
249,32430,88139
250,32316,88139
251,32202,88139
252,32184,88139
253,32184,88139
254,32184,88139
255,32184,88139
256,32184,88139
257,32184,88139
258,32184,88139
259,32184,88139
260,32184,88139
261,32184,88139
262,32184,88139
263,32184,88065
264,32184,87991
265,32184,87917
266,32184,87909
267,32184,87835
268,32184,87761
269,32184,87689
270,32184,85441
271,32184,85441
272,32184,84671
273,32184,84671
274,32184,84383
275,32184,84108
276,32184,84108
277,32184,83716
278,32184,83633
279,32184,83576
280,32184,83519
281,32184,83462
282,31407,83405
283,31407,83348
284,31407,89262
285,31407,89262
286,31187,88478
287,31047,88478
288,30930,88478
289,30887,88478
290,30887,88478
291,30887,88478
292,30887,88478
293,30887,88478
294,30887,88478
295,30887,88478
296,30598,88478
297,30598,88478
298,30598,88478
299,30598,88478
300,30598,88478
301,30598,88478
302,30598,88478
303,30598,88478
304,30598,84157
305,30598,84157
306,30598,83367
307,30598,83367
308,30481,83367
309,30428,83367
310,30428,83367
311,30428,82867
312,30428,82867
313,30428,82867
314,30428,82867
315,30428,82867
316,30428,82867
317,30428,82810
318,30428,80505
319,30428,80331
320,30428,79869
321,30428,79821
322,30428,79821
323,30428,79821
324,30428,79821
325,30428,79821
326,30428,79747
327,30428,79673
328,30428,79641
329,30428,79641
330,29928,79641
331,29928,79641
332,29918,79641
333,29918,79641
334,29918,79377
335,29918,79377
336,29918,75056
337,29918,75056
338,29918,75056
339,29918,85697
340,29918,85697
341,29918,85697
342,29918,85697
343,29918,85697
344,29918,85697
345,29918,85580
346,29918,85517
347,29918,82280
348,29918,82280
349,29918,68802
350,29918,68802
351,29918,68540
352,29918,68540
353,29918,68423
354,29918,79988
355,29918,79988
356,29918,79988
357,29918,79988
358,29918,79988
359,29918,79988
360,29918,79988
361,29918,77584
362,29844,105154
363,29770,105154
364,29748,100833
365,29748,100833
366,29748,100833
367,29748,100833
368,29748,100833
369,29748,100833
370,29748,100833
371,29748,100833
372,29748,100833
373,29748,100686
374,29748,100436
375,29748,100319
376,29748,98893
377,29748,98893
378,29748,98893
379,29748,98893
380,29748,98893
381,29748,98819
382,29691,98688
383,29634,98559
384,29481,98502
385,29458,98453
386,29458,98453
387,29355,98453
388,29298,98453
389,29028,98336
390,29028,98219
391,29028,115471
392,29028,115471
393,29028,114897
394,29028,114897
395,29028,114897
396,28938,114897
397,28828,114897
398,28828,114397
399,28828,113698
400,28828,113615
401,28828,113615
402,28828,113351
403,28828,113351
404,28828,113351
405,28828,113351
406,28828,112972
407,28828,112882
408,28828,111724
409,28828,111724
410,28754,111454
411,28698,111454
412,28698,111454
413,28698,111454
414,28698,111454
415,28698,111397
416,28698,111340
417,28698,111283
418,28698,111226
419,62308,111214
420,62308,111097
421,62308,115535
422,62308,115459
423,61724,115459
424,61724,115459
425,61724,115459
426,61724,115459
427,61577,115459
428,61480,115459
429,61307,115459
430,61230,115459
431,61156,115459
432,61082,115459
433,61044,115459
434,59292,115342
435,59292,115259
436,59292,115259
437,59292,115259
438,59292,121016
439,59292,121016
440,59192,120749
441,59192,120749
442,59192,116428
443,59192,116428
444,59192,115638
445,59192,115638
446,59192,115638
447,59192,115638
448,59135,115521
449,59078,115448
450,59022,115448
451,59022,115448
452,59022,115448
453,59022,115448
454,59022,115173
455,59022,115173
456,59022,111789
457,59022,111715
458,59022,111641
459,59022,111567
460,58965,111529
461,58908,111382
462,58852,110809
463,58852,110809
464,58852,110809
465,58852,97042
466,58852,97042
467,58852,97042
468,58852,96780
469,58852,96780
470,58852,96780
471,58852,96780
472,58852,96780
473,58852,96780
474,58852,96780
475,58852,96780
476,58852,96780
477,58852,96706
478,58852,96640
479,58852,96640
480,58795,96640
481,58738,125965
482,58702,125965
483,58702,125965
484,58702,125965
485,58702,125965
486,58702,125965
487,58315,125965
488,58198,125965
489,58162,125965
490,58162,125965
491,58162,125965
492,58162,112215
493,58162,112215
494,58162,111387
495,58162,111387
496,58042,111387
497,58042,111387
498,58042,111387
499,58042,110887
500,58042,110887
501,58042,110887
502,58042,110887
503,58042,110887
504,58042,110770
505,58042,110653
506,58042,110557
507,57985,110557
508,57942,110557
509,57942,110557
510,57942,110557
511,57942,110557
512,57942,110557
513,57942,110557
514,57942,110557
515,57942,110557
516,57942,110557
517,57942,110557
518,57942,110557
519,57942,110557
520,57942,116830
521,57942,116830
522,57942,116830
523,57942,116830
524,57825,116830
525,57792,116756
526,57792,114434
527,57792,114382
528,57792,114120
529,57792,114120
530,57792,114120
531,57792,114120
532,57792,114120
533,57792,113546
534,57792,113472
535,57792,113398
536,57792,113380
537,57792,113380
538,57792,112824
539,56736,112824
540,56736,112824
541,56736,138187
542,56736,138187
543,56477,138187
544,56360,138187
545,56317,138187
546,56317,138187
547,56097,144313
548,55977,144313
549,55977,144313
550,55977,144313
551,55977,144313
552,55688,144313
553,55688,144313
554,55688,144313
555,55688,144239
556,55688,143873
557,55688,143811
558,55688,142777
559,55688,142777
560,55688,142777
561,55688,142507
562,55688,142507
563,55688,142507
564,55571,142507
565,55518,142507
566,55518,142507
567,55518,142507
568,55518,139270
569,55518,139270
570,55518,139270
571,55518,139270
572,55518,139270
573,55518,139196
574,55518,139122
575,55518,139048
576,55518,124984
577,55518,124984
578,55518,124733
579,55518,124196
580,55518,124196
581,55518,124196
582,55518,124196
583,55518,132723
584,55518,132723
585,55518,132723
586,55518,132723
587,55518,132723
588,55518,132723
589,55518,132723
590,55518,132606
591,55518,132489
592,55518,132413
593,55518,132413
594,55518,132413
595,55518,132413
596,55518,132135
597,55518,132061
598,55518,131987
599,55518,131649
600,55518,131631
601,55518,131557
602,55518,131483
603,55518,131294
604,55518,131177
605,55518,131161
606,55518,117683
607,55518,117683
608,55518,116738
609,55518,116655
610,55518,116655
611,55518,116655
612,55518,116655
613,55518,116655
614,55518,116655
615,55518,116655
616,55518,113418
617,55518,113418
618,55518,113418
619,55518,113418
620,55518,113418
621,55518,113418
622,55518,113418
623,55518,113418
624,55518,113418
625,55518,113418
626,55518,144626
627,55518,144626
628,55518,144626
629,55518,144626
630,55518,144626
631,55518,144626
632,55518,144626
633,55518,144626
634,55518,144626
635,55518,144626
636,55518,144626
637,55518,144626
638,55518,144626
639,55518,144626
640,55518,144626
641,55518,144626
642,55518,144626
643,55518,144626
644,55518,139302
645,55518,139302
646,55518,139027
647,55518,139027
648,55518,139027
649,55518,139027
650,55518,139027
651,55518,139027
652,55518,139027
653,55518,139027
654,55518,139027
655,55518,139027
656,55518,139027
657,55518,138880
658,55518,138747
659,55518,138747
660,55518,138747
661,55518,138747
662,55518,138747
663,55518,138747
664,55518,138747
665,55518,138747
666,55518,138747
667,55518,138747
668,55518,138747
669,55518,138747
670,55518,138747
671,55518,138247
672,55518,138247
673,55518,138247
674,55518,138247
675,55518,138247
676,55518,133926
677,55518,133926
678,55518,133926
679,55518,133926
680,55518,133926
681,55518,133926
682,55518,133926
683,55518,133926
684,55518,133926
685,55518,133926
686,55518,133926
687,55518,133926
688,55518,133926
689,55518,133926
690,55518,133926
691,55518,133926
692,55518,133926
693,55518,133926
694,55518,133926
695,55518,133926
696,55518,133779
697,55518,133736
698,55518,133736
699,55518,133736
700,55518,133736
701,55518,133736
702,55518,133736
703,55518,150398
704,55518,150398
705,55518,150398
706,55518,150398
707,55518,150398
708,55518,150398
709,55518,150398
710,55518,150398
711,55518,150398
712,55518,150398
713,55518,150398
714,55518,150398
715,55518,150398
716,55518,150398
717,55518,150251
718,55518,150168
719,55518,148512
720,55518,148512
721,55518,148237
722,55518,148237
723,55518,148237
724,55518,148237
725,55518,148237
726,55518,148237
727,55518,148237
728,55518,147427
729,55518,147427
730,55518,147427
731,55518,147427
732,55518,147427
733,55518,147427
734,55518,147427
735,55518,147427
736,55518,147427
737,55518,147427
738,55518,147427
739,55518,147427
740,55518,147427
741,55518,147427
742,55518,152790
743,55518,152790
744,55518,152790
745,55518,152790
746,55518,152790
747,55518,152790
748,55518,152790
749,55518,152790
750,55518,152790
751,55518,152790
752,55518,152790
753,55518,152790
754,55518,152790
755,55518,152790
756,55518,152790
757,55518,152790
758,55518,152790
759,55518,152790
760,55518,152790
761,55518,152790
762,55518,152790
763,55518,152790
764,55518,152790
765,55518,152498
766,55518,152424
767,55518,152058
768,55518,151984
769,55518,151148
770,55518,151148
771,55518,151148
772,55518,151148
773,55518,151148
774,55518,151148
775,55518,151148
776,55518,151148
777,55518,151148
778,55518,151148
779,55518,151148
780,55518,151148
781,55518,151148
782,55518,147911
783,55518,147911
784,55518,147911
785,55518,147911
786,55518,147911
787,55518,147911
788,55518,147911
789,55518,147911
790,55518,147911
791,55518,147911
792,55518,155389
793,55518,155389
794,55518,155389
795,55518,155389
796,55518,155389
797,55518,155389
798,55518,155389
799,55518,155389
800,55518,155389
801,55518,155389
802,55518,155389
803,55518,155389
804,55518,155389
805,55518,155315
806,55518,155241
807,55518,155167
808,55518,155159
809,55518,155085
810,55518,155011
811,55518,154937
812,55518,154929
813,55518,154855
814,55518,154489
815,55518,154427
816,55518,154427
817,55518,154427
818,55518,154427
819,55518,154427
820,55518,154427
821,55518,154427
822,55518,154427
823,55518,154427
824,55518,154427
825,55518,154149
826,55518,154149
827,55518,154149
828,55518,150912
829,55518,150912
830,55518,150912
831,55518,150912
832,55518,150412
833,55518,150412
834,55518,150412
835,55518,150412
836,55518,150412
837,55518,150412
838,55518,150148
839,55518,150148
840,55518,150148
841,55518,150148
842,55518,150148
843,55518,150148
844,55518,150148
845,55518,150148
846,55518,157759
847,55518,157759
848,55518,157759
849,55518,157759
850,55518,157759
851,55518,157759
852,55518,157759
853,55518,157759
854,55518,157759
855,55518,157759
856,55518,157759
857,55518,157759
858,55518,157759
859,55518,157759
860,55518,157759
861,55518,157759
862,55518,157642
863,55518,157529
864,55518,157412
865,55518,157319
866,55518,157052
867,55518,157052
868,55518,157052
869,55518,157052
870,55518,157052
871,55518,157052
872,55518,157052
873,55518,157052
874,55518,156262
875,55518,156262
876,55518,151941
877,55518,151941
878,55518,151941
879,55518,151941
880,55518,151941
881,55518,151941
882,55518,151941
883,55518,151671
884,55518,151671
885,55518,151671
886,55518,151671
887,55518,151671
888,55518,151671
889,55518,151671
890,55518,151671
891,55518,151671
892,55518,151671
893,55518,151524
894,55518,151431
895,55518,151431
896,55518,151284
897,55518,151201
898,55518,151201
899,55518,151201
900,55518,151201
901,55518,151201
902,55518,150701
903,55518,150701
904,55518,150701
905,55518,150701
906,55518,150701
907,55518,150701
908,55518,150701
909,55518,150701
910,55518,150701
911,55518,150701
912,55518,159922
913,55518,159922
914,55518,159922
915,55518,159922
916,55518,159922
917,55518,159922
918,55518,159922
919,55518,159922
920,55518,159922
921,55518,159922
922,55518,159922
923,55518,159922
924,55518,159922
925,55518,159922
926,55518,159922
927,55518,159922
928,55518,159922
929,55518,159922
930,55518,159922
931,55518,159922
932,55518,159922
933,55518,159922
934,55518,159922
935,55518,159922
936,55518,159922
937,55518,159922
938,55518,159922
939,55518,159922
940,55518,159922
941,55518,159922
942,55518,159922
943,55518,159922
944,55518,159922
945,55518,159922
946,55518,159922
947,55518,159922
948,55518,159922
949,55518,159922
950,55518,159922
951,55518,159922
952,55518,159922
953,55518,159922
954,55518,159922
955,55518,159922
956,55518,159922
957,55518,159922
958,55518,159922
959,55518,159922
960,55518,159922
961,55518,159922
962,55518,159922
963,55518,159922
964,55518,159922
965,55518,159922
966,55518,159922
967,55518,159922
968,55518,159922
969,55518,159922
970,55518,159922
971,55518,159922
972,55518,159922
973,55518,159922
974,55518,159922
975,55518,159922
976,55518,159922
977,55518,159922
978,55518,159922
979,55518,159922
980,55518,159922
981,55518,159922
982,55518,159922
983,55518,159922
984,55518,159922
985,55518,159922
986,55518,159922
987,55518,159922
988,55518,159922
989,55518,159922
990,55518,159922
991,55518,159922
992,55518,159922
993,55518,159922
994,55518,159922
995,55518,159922
996,55518,159922
997,55518,159922
998,55518,159922
999,55518,159922
1000,55518,159922