Step,Flisvos-2016,Python-DTU
0,50000,50000
1,50000,50000
2,50000,50000
3,50000,50000
4,49708,50000
5,43488,50000
6,43205,50000
7,43205,50000
8,43205,50000
9,42364,50000
10,42364,50000
11,42364,50000
12,42364,48910
13,42364,48910
14,42364,48910
15,42364,48910
16,42364,48910
17,42364,48910
18,42364,48910
19,42364,48910
20,32814,48910
21,32027,48910
22,31913,48910
23,31827,48910
24,31827,48910
25,31713,48910
26,31657,48910
27,29715,48910
28,-194380,48910
29,-194494,48910
30,-194516,48910
31,-194516,48910
32,-194516,48910
33,-194516,48910
34,-194516,48404
35,-194516,48404
36,-194622,48404
37,-194786,48404
38,-194836,48404
39,-194836,48404
40,-194836,48404
41,-194836,48404
42,-194836,48404
43,-194836,48404
44,-194836,48404
45,-194836,48404
46,-194836,48404
47,-194836,48404
48,-177246,48404
49,-179491,48404
50,-179763,48404
51,-179869,48404
52,-179975,48404
53,-180081,48404
54,-180187,48404
55,-180193,48404
56,-180193,48404
57,-180193,48404
58,-180193,48404
59,-180299,48404
60,-180477,48404
61,-180543,48404
62,-180543,48404
63,-180543,48404
64,-180686,48404
65,-180943,48404
66,-181206,48404
67,-181435,48404
68,-181664,48404
69,-181893,48404
70,-181993,48404
71,-181993,48404
72,-182493,48404
73,-182493,48404
74,-182493,48404
75,-182493,48404
76,-182493,48404
77,-168750,48404
78,-180014,48404
79,-180074,48404
80,-180074,48404
81,-180074,48404
82,-180074,48404
83,-180074,48404
84,-180074,48404
85,-180217,48404
86,-180294,48404
87,-180294,48404
88,-180294,48404
89,-180294,48404
90,-180794,48404
91,-180864,48404
92,-180934,48404
93,-181004,48404
94,-181074,48404
95,-181144,48404
96,-181184,48404
97,-181184,48404
98,158747,48404
99,156717,48404
100,155584,48404
101,153718,48404
102,153718,48404
103,153718,48404
104,153612,48404
105,153506,48404
106,153400,48404
107,153294,48404
108,153188,48404
109,153088,48404
110,153018,48404
111,152948,48404
112,152878,48404
113,152808,48404
114,152738,48404
115,152688,48404
116,152688,48404
117,152688,48404
118,152688,48404
119,152574,48404
120,152460,48404
121,152338,48404
122,152268,48404
123,152198,48404
124,152128,48404
125,152058,48404
126,151988,48404
127,151968,48404
128,151968,48404
129,151968,48404
130,151854,48404
131,151626,48404
132,151398,48404
133,151276,48404
134,151178,48404
135,151178,48404
136,151178,48404
137,151108,48404
138,151038,48404
139,150968,48404
140,167869,48404
141,165264,48404
142,164902,48404
143,164832,48404
144,164762,48404
145,164692,48404
146,164622,48404
147,164552,48404
148,164492,48404
149,169040,48404
150,125251,48404
151,125168,48404
152,124989,48404
153,124911,48404
154,124911,48404
155,124911,48404
156,124805,48404
157,124701,48404
158,124701,48404
159,124631,48404
160,124418,48404
161,124205,48404
162,124081,48404
163,124011,48404
164,124001,48404
165,123931,48404
166,136775,48404
167,125939,48404
168,125584,48404
169,125128,48404
170,124677,48404
171,124515,48404
172,123909,48404
173,123803,48404
174,123697,48404
175,123591,48404
176,123477,48404
177,123471,48404
178,123471,48404
179,123471,48404
180,123471,48404
181,123471,48404
182,123471,48404
183,123357,48404
184,123261,48404
185,123261,48404
186,123155,48404
187,123061,48404
188,123061,48404
189,123061,48404
190,123061,48404
191,123061,48404
192,123061,48404
193,122447,48404
194,122333,48404
195,122219,48404
196,141541,48404
197,141142,48404
198,133096,48404
199,-90999,48404
200,-91113,48404
201,-91161,48404
202,-91290,48404
203,-91497,48404
204,-91603,48404
205,-91709,48404
206,-91815,48404
207,-91921,48404
208,-92027,48404
209,-92133,48404
210,-92239,48404
211,-92345,48404
212,-92495,48404
213,-92601,48404
214,-92601,48404
215,-92671,48404
216,-92741,48404
217,-92811,48404
218,-92881,48404
219,-92931,48404
220,-92931,48404
221,-92931,48404
222,-92931,48404
223,-92931,48404
224,-92931,48404
225,-92931,48404
226,-92931,48404
227,-92931,48404
228,-93037,48404
229,-93143,48404
230,-93249,48404
231,-93355,48404
232,-93371,48404
233,-93371,48404
234,-93371,48404
235,-93371,48404
236,-93371,48404
237,-93371,48404
238,-93371,48404
239,-93371,48404
240,-93371,48404
241,-93371,48404
242,-93371,48404
243,-93371,48404
244,-93371,48404
245,-93371,48404
246,-93371,48404
247,-89011,48404
248,252779,48404
249,242611,48404
250,242339,48404
251,241552,48404
252,241552,48404
253,241552,48404
254,241552,48404
255,241552,48404
256,313972,48404
257,311698,48404
258,305405,48404
259,305332,48404
260,305259,48404
261,305186,48404
262,305113,48404
263,305040,48404
264,304968,48404
265,304968,48404
266,304854,48404
267,304740,48404
268,304512,48404
269,304340,48404
270,304226,48404
271,304004,48404
272,303890,48404
273,303888,48404
274,303774,48404
275,303660,48404
276,303568,48404
277,303498,48404
278,303428,48404
279,303358,48404
280,303288,48404
281,303148,48404
282,303008,48404
283,302762,48404
284,302516,48404
285,302340,48404
286,302164,48404
287,301905,48404
288,301712,48404
289,301639,48404
290,301566,48404
291,300993,48404
292,300920,48404
293,300847,48404
294,300774,48404
295,300701,48404
296,300628,48404
297,300555,48404
298,300488,48404
299,300488,48404
300,300488,48404
301,306309,48404
302,268168,48404
303,267668,48404
304,267668,48404
305,267668,48404
306,267595,48404
307,267522,48404
308,267449,48404
309,267376,48404
310,267318,48404
311,267318,48404
312,267318,48404
313,267318,48404
314,267218,48404
315,267218,48404
316,281848,48404
317,243707,48404
318,235775,48404
319,235775,48404
320,235775,48404
321,235775,48404
322,235775,48404
323,235775,48404
324,235661,48404
325,235625,48404
326,235625,48404
327,250706,48404
328,210856,48404
329,209969,48404
330,209969,48404
331,209896,48404
332,209823,48404
333,209819,48404
334,172775,48404
335,172775,48404
336,172775,48404
337,172775,48404
338,172775,48404
339,172775,48404
340,172275,48404
341,172275,48404
342,172275,48404
343,172275,48404
344,172275,48404
345,172275,48404
346,171775,48404
347,171775,48404
348,166271,48404
349,165771,48404
350,165771,48404
351,165671,48404
352,165557,48404
353,164329,48404
354,163987,48404
355,163693,48404
356,163525,48404
357,163491,48404
358,163491,48404
359,163351,48404
360,163231,48404
361,163161,48404
362,163091,48404
363,163021,48404
364,162991,48404
365,162991,48404
366,162901,48404
367,162901,48404
368,162901,48404
369,162901,48404
370,162401,48404
371,162401,48404
372,162401,48404
373,162144,48404
374,161855,48404
375,161642,48404
376,161449,48404
377,161306,48404
378,161221,48404
379,161092,48404
380,160875,48404
381,-63212,48404
382,-63310,48404
383,-63310,48404
384,-63310,48404
385,-63310,48404
386,-63310,48404
387,-63310,48404
388,-63310,48404
389,-63416,48404
390,-63522,48404
391,-63628,48404
392,-64234,48404
393,-64340,48404
394,-64446,48404
395,-64552,48404
396,-64658,48404
397,18172,48404
398,15921,48404
399,14779,48404
400,14779,48404
401,14779,48404
402,14779,48404
403,14779,48404
404,14779,48404
405,14779,48404
406,14779,48404
407,14779,48404
408,14779,48404
409,14595,48404
410,14469,48404
411,14439,48404
412,14439,48404
413,14439,48404
414,14439,48404
415,14439,48404
416,14325,48404
417,14211,48404
418,14097,48404
419,13983,48404
420,13939,48404
421,13939,48404
422,13939,48404
423,13939,48404
424,13939,48404
425,13939,48404
426,13939,48404
427,13939,48404
428,13939,48404
429,13939,48404
430,20159,48404
431,15155,48404
432,14314,48404
433,13027,48404
434,12921,48404
435,12827,48404
436,12827,48404
437,12327,48404
438,12327,48404
439,12327,48404
440,12327,48404
441,12327,48404
442,12327,48404
443,12327,48404
444,12327,48404
445,12327,48404
446,12327,48404
447,12327,48404
448,12327,48404
449,12327,48404
450,12213,48404
451,12099,48404
452,11985,48404
453,11937,48404
454,11937,48404
455,11937,48404
456,11937,48404
457,451886,48404
458,442349,48404
459,218368,48404
460,218368,48404
461,218368,48404
462,218239,48404
463,218110,48404
464,218088,48404
465,218088,48404
466,218088,48404
467,218018,48404
468,217875,48404
469,217772,48404
470,286191,48404
471,280746,48404
472,271294,48404
473,263469,48404
474,263396,48404
475,263323,48404
476,263250,48404
477,263177,48404
478,263117,48404
479,263117,48404
480,263011,48404
481,262907,48404
482,262907,48404
483,273545,48404
484,271225,48404
485,271155,48404
486,271085,48404
487,271015,48404
488,270945,48404
489,270875,48404
490,270805,48404
491,270735,48404
492,270665,48404
493,270595,48404
494,270411,48404
495,270227,48404
496,270049,48404
497,269425,48404
498,269365,48404
499,269365,48404
500,269365,48404
501,269365,48404
502,269365,48404
503,269365,48404
504,269365,48404
505,269365,48404
506,269365,48404
507,269365,48404
508,269365,48404
509,269365,48404
510,269365,48404
511,269259,48404
512,269245,48404
513,269245,48404
514,269245,48404
515,268745,48404
516,268745,48404
517,268675,48404
518,274025,48404
519,271094,48404
520,270988,48404
521,270882,48404
522,270874,48404
523,270874,48404
524,270374,48404
525,270374,48404
526,270374,48404
527,270374,48404
528,270374,48404
529,270304,48404
530,269734,48404
531,269664,48404
532,269594,48404
533,269574,48404
534,269074,48404
535,687724,48404
536,649839,48404
537,648172,48404
538,648172,48404
539,648172,48404
540,648172,48404
541,648172,48404
542,648172,48404
543,648172,48404
544,648058,48404
545,647962,48404
546,647962,48404
547,647962,48404
548,647962,48404
549,647962,48404
550,647962,48404
551,647962,48404
552,653570,48404
553,613443,48404
554,613443,48404
555,613337,48404
556,613243,48404
557,612743,48404
558,612673,48404
559,612603,48404
560,612533,48404
561,612033,48404
562,612033,48404
563,612033,48404
564,611919,48404
565,611903,48404
566,611903,48404
567,611903,48404
568,611903,48404
569,611903,48404
570,611903,48404
571,611903,48404
572,611797,48404
573,611691,48404
574,611585,48404
575,673433,48404
576,671109,48404
577,663177,48404
578,663177,48404
579,663177,48404
580,663177,48404
581,663177,48404
582,663177,48404
583,663177,48404
584,663034,48404
585,662957,48404
586,662957,48404
587,662887,48404
588,662817,48404
589,662604,48404
590,662487,48404
591,662487,48404
592,662487,48404
593,662487,48404
594,662487,48404
595,662487,48404
596,662487,48404
597,662373,48404
598,662259,48404
599,662247,48404
600,662247,48404
601,662247,48404
602,661747,48404
603,661247,48404
604,661247,48404
605,661247,48404
606,661247,48404
607,660747,48404
608,660747,48404
609,660747,48404
610,660747,48404
611,660747,48404
612,660747,48404
613,660677,48404
614,660627,48404
615,660627,48404
616,660627,48404
617,660627,48404
618,660627,48404
619,660627,48404
620,660513,48404
621,660399,48404
622,660171,48404
623,659989,48404
624,659875,48404
625,659761,48404
626,659647,48404
627,659533,48404
628,659419,48404
629,659235,48404
630,659157,48404
631,659014,48404
632,658901,48404
633,658828,48404
634,658755,48404
635,658682,48404
636,658609,48404
637,674392,48404
638,664766,48404
639,664437,48404
640,664364,48404
641,664364,48404
642,664364,48404
643,664364,48404
644,664364,48404
645,664364,48404
646,664364,48404
647,664364,48404
648,664364,48404
649,664249,48404
650,664134,48404
651,664124,48404
652,664124,48404
653,664124,48404
654,735892,48404
655,733950,48404
656,733356,48404
657,733356,48404
658,733356,48404
659,733356,48404
660,733356,48404
661,733356,48404
662,733356,48404
663,732856,48404
664,732856,48404
665,732856,48404
666,732856,48404
667,732856,48404
668,732856,48404
669,732856,48404
670,732856,48404
671,732856,48404
672,732856,48404
673,732856,48404
674,732856,48404
675,732856,48404
676,732786,48404
677,732666,48404
678,732596,48404
679,732526,48404
680,732456,48404
681,732386,48404
682,732316,48404
683,732306,48404
684,732306,48404
685,732306,48404
686,732306,48404
687,732306,48404
688,732306,48404
689,732306,48404
690,764721,48404
691,720017,48404
692,713797,48404
693,713797,48404
694,713797,48404
695,713797,48404
696,713797,48404
697,713654,48404
698,713511,48404
699,712868,48404
700,712725,48404
701,712667,48404
702,712667,48404
703,712167,48404
704,712167,48404
705,712167,48404
706,711667,48404
707,711667,48404
708,711657,48404
709,711657,48404
710,711157,48404
711,711157,48404
712,711157,48404
713,711157,48404
714,711157,48404
715,711157,48404
716,711051,48404
717,710945,48404
718,710769,48404
719,710747,48404
720,710747,48404
721,710747,48404
722,710747,48404
723,710747,48404
724,710747,48404
725,710747,48404
726,710747,48404
727,710747,48404
728,710641,48404
729,710535,48404
730,710429,48404
731,710323,48404
732,710287,48404
733,710287,48404
734,710287,48404
735,710287,48404
736,710287,48404
737,710287,48404
738,710287,48404
739,710287,48404
740,710287,48404
741,710287,48404
742,710287,48404
743,710287,48404
744,710287,48404
745,710287,48404
746,710287,48404
747,710287,48404
748,710287,48404
749,710287,48404
750,710172,48404
751,710057,48404
752,709942,48404
753,709827,48404
754,709787,48404
755,709787,48404
756,714275,48404
757,713747,48404
758,706087,48404
759,699867,48404
760,475886,48404
761,552105,48404
762,546834,48404
763,546562,48404
764,545775,48404
765,545775,48404
766,545669,48404
767,545563,48404
768,545475,48404
769,544869,48404
770,544795,48404
771,544689,48404
772,544585,48404
773,544585,48404
774,544585,48404
775,544479,48404
776,544395,48404
777,544325,48404
778,544255,48404
779,544185,48404
780,544115,48404
781,544075,48404
782,544075,48404
783,544075,48404
784,544075,48404
785,544075,48404
786,543969,48404
787,543955,48404
788,543955,48404
789,543955,48404
790,543455,48404
791,543455,48404
792,543455,48404
793,543455,48404
794,543455,48404
795,543455,48404
796,543455,48404
797,542955,48404
798,542955,48404
799,542955,48404
800,542955,48404
801,542955,48404
802,542955,48404
803,893308,48404
804,854322,48404
805,854030,48404
806,630049,48404
807,630049,48404
808,630049,48404
809,646939,48404
810,644651,48404
811,644306,48404
812,644233,48404
813,644179,48404
814,644109,48404
815,644039,48404
816,643969,48404
817,643789,48404
818,643729,48404
819,643729,48404
820,643729,48404
821,643659,48404
822,643589,48404
823,643405,48404
824,643329,48404
825,643329,48404
826,643329,48404
827,643329,48404
828,643214,48404
829,643099,48404
830,642984,48404
831,642969,48404
832,642969,48404
833,642969,48404
834,642896,48404
835,642823,48404
836,642750,48404
837,642109,48404
838,642039,48404
839,641969,48404
840,641899,48404
841,641715,48404
842,1107404,48404
843,1094548,48404
844,1056529,48404
845,1056389,48404
846,1056319,48404
847,1056249,48404
848,1056095,48404
849,1055989,48404
850,1055989,48404
851,1055989,48404
852,1055989,48404
853,1055989,48404
854,1055989,48404
855,1055989,48404
856,1055919,48404
857,1055849,48404
858,1055779,48404
859,1055709,48404
860,1055639,48404
861,1055599,48404
862,1055599,48404
863,1055599,48404
864,1055599,48404
865,1055599,48404
866,1055599,48404
867,1055599,48404
868,1055456,48404
869,1055329,48404
870,1055329,48404
871,1055329,48404
872,1055329,48404
873,1055329,48404
874,1055329,48404
875,1055329,48404
876,1055329,48404
877,1055329,48404
878,1055329,48404
879,1055329,48404
880,1055214,48404
881,1055099,48404
882,1054984,48404
883,1054919,48404
884,1054919,48404
885,1054919,48404
886,1070850,48404
887,1060744,48404
888,1060469,48404
889,1052809,48404
890,1052809,48404
891,1052809,48404
892,1052809,48404
893,1052809,48404
894,1052809,48404
895,1052809,48404
896,1052809,48404
897,1052809,48404
898,1052809,48404
899,1052809,48404
900,1052809,48404
901,1063671,48404
902,1063671,48404
903,1063671,48404
904,1063671,48404
905,1063671,48404
906,1063671,48404
907,1063171,48404
908,1063171,48404
909,1063171,48404
910,1063171,48404
911,1063171,48404
912,1063171,48404
913,1063171,48404
914,1063171,48404
915,1063171,48404
916,1063171,48404
917,1063171,48404
918,1063171,48404
919,1063171,48404
920,1063171,48404
921,1063171,48404
922,1063171,48404
923,1063171,48404
924,1063171,48404
925,1063171,48404
926,1063171,48404
927,1063171,48404
928,1063171,48404
929,1063171,48404
930,1063171,48404
931,1063171,48404
932,1063065,48404
933,1062959,48404
934,1062853,48404
935,1062633,48404
936,1062413,48404
937,1062265,48404
938,1062181,48404
939,1062111,48404
940,1062041,48404
941,1061971,48404
942,1061901,48404
943,1061831,48404
944,1061761,48404
945,1061691,48404
946,1061621,48404
947,1061551,48404
948,1061481,48404
949,1061411,48404
950,1061341,48404
951,1061341,48404
952,1061341,48404
953,1061341,48404
954,1061341,48404
955,1061341,48404
956,1061341,48404
957,1061341,48404
958,1061341,48404
959,1061341,48404
960,1061341,48404
961,1061341,48404
962,1061341,48404
963,1061341,48404
964,1061341,48404
965,1061341,48404
966,1061341,48404
967,1061341,48404
968,1061341,48404
969,1061341,48404
970,1061341,48404
971,1061341,48404
972,1061341,48404
973,1061341,48404
974,1061341,48404
975,1061341,48404
976,1061341,48404
977,1061341,48404
978,1061341,48404
979,1088327,48404
980,1088327,48404
981,1088327,48404
982,1088327,48404
983,1088327,48404
984,1088327,48404
985,1088327,48404
986,1088327,48404
987,1088327,48404
988,1088327,48404
989,1088327,48404
990,1088327,48404
991,1088327,48404
992,1088327,48404
993,1088327,48404
994,1088327,48404
995,1156322,48404
996,1156322,48404
997,1156322,48404
998,1156322,48404
999,1156322,48404
1000,1156322,48404